date;cite;country;views;clicks
04/01/2019;www.abc.com;USA;26991;612
04/01/2019;www.cba.com;France;3567;18388
11/01/2019;www.abc.com;USA;27185;29932
11/01/2019;www.cba.com;France;23967;30533
18/01/2019;www.abc.com;USA;13655;28586
18/01/2019;www.cba.com;France;14014;13154
25/01/2019;www.abc.com;USA;5780;31505
25/01/2019;www.cba.com;France;8746;4632
01/02/2019;www.abc.com;USA;6783;2746
01/02/2019;www.cba.com;France;16412;11190
08/02/2019;www.abc.com;USA;18679;29185
08/02/2019;www.cba.com;France;19312;11153
15/02/2019;www.abc.com;USA;29469;8039
15/02/2019;www.cba.com;France;16817;753
22/02/2019;www.abc.com;USA;10374;5755
22/02/2019;www.cba.com;France;32416;25483
01/03/2019;www.abc.com;USA;17286;16015
01/03/2019;www.cba.com;France;13035;6362
08/03/2019;www.abc.com;USA;27590;12611
08/03/2019;www.cba.com;France;25817;32353
15/03/2019;www.abc.com;USA;9358;9928
15/03/2019;www.cba.com;France;7510;6118
22/03/2019;www.abc.com;USA;5709;16141
22/03/2019;www.cba.com;France;3634;9375
29/03/2019;www.abc.com;USA;18146;13392
29/03/2019;www.cba.com;France;7796;4397
05/04/2019;www.abc.com;USA;31947;13347
05/04/2019;www.cba.com;France;29141;5321
12/04/2019;www.abc.com;USA;26779;20287
12/04/2019;www.cba.com;France;19925;23993
19/04/2019;www.abc.com;USA;20410;17217
19/04/2019;www.cba.com;France;4469;9540
26/04/2019;www.abc.com;USA;3701;20120
26/04/2019;www.cba.com;France;24970;22084
03/05/2019;www.abc.com;USA;15524;14458
03/05/2019;www.cba.com;France;29588;9088
10/05/2019;www.abc.com;USA;30840;14318
10/05/2019;www.cba.com;France;4389;7870
17/05/2019;www.abc.com;USA;17904;17738
17/05/2019;www.cba.com;France;4447;3388
24/05/2019;www.abc.com;USA;20998;17642
24/05/2019;www.cba.com;France;27419;30190
31/05/2019;www.abc.com;USA;11298;899
31/05/2019;www.cba.com;France;6292;18693
07/06/2019;www.abc.com;USA;4577;22444
07/06/2019;www.cba.com;France;25838;29862
14/06/2019;www.abc.com;USA;6687;32042
14/06/2019;www.cba.com;France;25480;30441
21/06/2019;www.abc.com;USA;12873;31393
21/06/2019;www.cba.com;France;6428;12588
28/06/2019;www.abc.com;USA;9548;12696
28/06/2019;www.cba.com;France;8611;26156
05/07/2019;www.abc.com;USA;17705;13188
05/07/2019;www.cba.com;France;9455;24639
12/07/2019;www.abc.com;USA;29751;27390
12/07/2019;www.cba.com;France;21554;14058
19/07/2019;www.abc.com;USA;15597;11455
19/07/2019;www.cba.com;France;22046;28309
26/07/2019;www.abc.com;USA;8363;15000
26/07/2019;www.cba.com;France;22338;27772
02/08/2019;www.abc.com;USA;21114;22296
02/08/2019;www.cba.com;France;28143;599
09/08/2019;www.abc.com;USA;20251;32483
09/08/2019;www.cba.com;France;1090;8217
16/08/2019;www.abc.com;USA;24822;23929
16/08/2019;www.cba.com;France;16355;31534
23/08/2019;www.abc.com;USA;14409;21174
23/08/2019;www.cba.com;France;26684;27350
30/08/2019;www.abc.com;USA;11754;7126
30/08/2019;www.cba.com;France;4221;472
06/09/2019;www.abc.com;USA;32574;29093
06/09/2019;www.cba.com;France;9430;30054
13/09/2019;www.abc.com;USA;31558;12869
13/09/2019;www.cba.com;France;2108;17162
20/09/2019;www.abc.com;USA;4156;4448
20/09/2019;www.cba.com;France;22514;32093
27/09/2019;www.abc.com;USA;6159;15043
27/09/2019;www.cba.com;France;24162;32359
04/10/2019;www.abc.com;USA;21310;4342
04/10/2019;www.cba.com;France;18035;18190
11/10/2019;www.abc.com;USA;2694;3160
11/10/2019;www.cba.com;France;29955;15970
18/10/2019;www.abc.com;USA;27130;22780
18/10/2019;www.cba.com;France;7793;7524
25/10/2019;www.abc.com;USA;24550;12559
25/10/2019;www.cba.com;France;3086;1799
01/11/2019;www.abc.com;USA;4523;1617
01/11/2019;www.cba.com;France;13592;25591
08/11/2019;www.abc.com;USA;14983;1863
08/11/2019;www.cba.com;France;25723;28791
15/11/2019;www.abc.com;USA;32180;24629
15/11/2019;www.cba.com;France;24650;15602
22/11/2019;www.abc.com;USA;23831;7462
22/11/2019;www.cba.com;France;22411;32331
29/11/2019;www.abc.com;USA;2900;19186
29/11/2019;www.cba.com;France;24500;17770
06/12/2019;www.abc.com;USA;22586;32584
06/12/2019;www.cba.com;France;31818;946
13/12/2019;www.abc.com;USA;28042;3202
13/12/2019;www.cba.com;France;21202;24442
20/12/2019;www.abc.com;USA;587;7257
20/12/2019;www.cba.com;France;9302;8649
27/12/2019;www.abc.com;USA;13342;13056
27/12/2019;www.cba.com;France;825;4946
