date;cite;country;views;clicks
07/01/2019;www.abc.com;USA;22721;31371
07/01/2019;www.cba.com;France;19043;23961
14/01/2019;www.abc.com;USA;9849;3360
14/01/2019;www.cba.com;France;19965;8235
21/01/2019;www.abc.com;USA;22797;2110
21/01/2019;www.cba.com;France;22237;27162
28/01/2019;www.abc.com;USA;27620;19164
28/01/2019;www.cba.com;France;16662;19564
04/02/2019;www.abc.com;USA;1195;6746
04/02/2019;www.cba.com;France;14373;1857
11/02/2019;www.abc.com;USA;20775;25181
11/02/2019;www.cba.com;France;18837;2395
18/02/2019;www.abc.com;USA;31182;31814
18/02/2019;www.cba.com;France;3223;11993
25/02/2019;www.abc.com;USA;9897;25049
25/02/2019;www.cba.com;France;542;11109
04/03/2019;www.abc.com;USA;1558;9364
04/03/2019;www.cba.com;France;32575;9400
11/03/2019;www.abc.com;USA;11282;4356
11/03/2019;www.cba.com;France;12040;23067
18/03/2019;www.abc.com;USA;26634;1759
18/03/2019;www.cba.com;France;10812;24183
25/03/2019;www.abc.com;USA;18300;15106
25/03/2019;www.cba.com;France;12879;5598
01/04/2019;www.abc.com;USA;2892;24085
01/04/2019;www.cba.com;France;19754;1161
08/04/2019;www.abc.com;USA;24672;29059
08/04/2019;www.cba.com;France;29873;6350
15/04/2019;www.abc.com;USA;4743;29392
15/04/2019;www.cba.com;France;20587;11835
22/04/2019;www.abc.com;USA;19095;6008
22/04/2019;www.cba.com;France;27763;29536
29/04/2019;www.abc.com;USA;21435;8046
29/04/2019;www.cba.com;France;32193;5667
06/05/2019;www.abc.com;USA;28495;26077
06/05/2019;www.cba.com;France;8919;20842
13/05/2019;www.abc.com;USA;32529;20807
13/05/2019;www.cba.com;France;13688;32416
20/05/2019;www.abc.com;USA;18531;1035
20/05/2019;www.cba.com;France;9788;19229
27/05/2019;www.abc.com;USA;30007;7576
27/05/2019;www.cba.com;France;9023;2041
03/06/2019;www.abc.com;USA;4923;11530
03/06/2019;www.cba.com;France;10643;7302
10/06/2019;www.abc.com;USA;11192;16308
10/06/2019;www.cba.com;France;17872;27014
17/06/2019;www.abc.com;USA;164;4130
17/06/2019;www.cba.com;France;12883;4723
24/06/2019;www.abc.com;USA;9031;9920
24/06/2019;www.cba.com;France;15086;1091
01/07/2019;www.abc.com;USA;12751;5321
01/07/2019;www.cba.com;France;6705;8329
08/07/2019;www.abc.com;USA;4709;22932
08/07/2019;www.cba.com;France;10015;27910
15/07/2019;www.abc.com;USA;28428;2247
15/07/2019;www.cba.com;France;20145;29490
22/07/2019;www.abc.com;USA;29095;17851
22/07/2019;www.cba.com;France;6598;6793
29/07/2019;www.abc.com;USA;10397;23627
29/07/2019;www.cba.com;France;24416;7056
05/08/2019;www.abc.com;USA;28089;7994
05/08/2019;www.cba.com;France;18206;700
12/08/2019;www.abc.com;USA;8683;29792
12/08/2019;www.cba.com;France;31321;10605
19/08/2019;www.abc.com;USA;13605;8593
19/08/2019;www.cba.com;France;29557;5664
26/08/2019;www.abc.com;USA;101;8455
26/08/2019;www.cba.com;France;22905;6934
02/09/2019;www.abc.com;USA;22713;2935
02/09/2019;www.cba.com;France;19866;19038
09/09/2019;www.abc.com;USA;18003;7221
09/09/2019;www.cba.com;France;7127;22835
16/09/2019;www.abc.com;USA;27436;5692
16/09/2019;www.cba.com;France;30861;6065
23/09/2019;www.abc.com;USA;7636;27929
23/09/2019;www.cba.com;France;4960;14486
30/09/2019;www.abc.com;USA;26489;28445
30/09/2019;www.cba.com;France;31959;17593
07/10/2019;www.abc.com;USA;4689;3060
07/10/2019;www.cba.com;France;17460;21345
14/10/2019;www.abc.com;USA;5162;137
14/10/2019;www.cba.com;France;12982;32563
21/10/2019;www.abc.com;USA;27304;31800
21/10/2019;www.cba.com;France;18056;9654
28/10/2019;www.abc.com;USA;7718;31945
28/10/2019;www.cba.com;France;9331;9596
04/11/2019;www.abc.com;USA;30885;18565
04/11/2019;www.cba.com;France;13610;4584
11/11/2019;www.abc.com;USA;12262;10767
11/11/2019;www.cba.com;France;27875;13026
18/11/2019;www.abc.com;USA;17368;9196
18/11/2019;www.cba.com;France;1954;23595
25/11/2019;www.abc.com;USA;29490;3622
25/11/2019;www.cba.com;France;30320;17540
02/12/2019;www.abc.com;USA;19251;5857
02/12/2019;www.cba.com;France;18642;29181
09/12/2019;www.abc.com;USA;10166;10739
09/12/2019;www.cba.com;France;18513;17259
16/12/2019;www.abc.com;USA;8388;12491
16/12/2019;www.cba.com;France;31248;16132
23/12/2019;www.abc.com;USA;24750;17118
23/12/2019;www.cba.com;France;4933;19193
30/12/2019;www.abc.com;USA;26094;2092
30/12/2019;www.cba.com;France;1045;13224
