date;cite;country;views;clicks
05/01/2019;www.abc.com;USA;27361;3647
05/01/2019;www.cba.com;France;23563;24647
12/01/2019;www.abc.com;USA;28518;15341
12/01/2019;www.cba.com;France;31639;8482
19/01/2019;www.abc.com;USA;27843;4842
19/01/2019;www.cba.com;France;32457;31172
26/01/2019;www.abc.com;USA;7695;10729
26/01/2019;www.cba.com;France;4739;202
02/02/2019;www.abc.com;USA;28039;25025
02/02/2019;www.cba.com;France;1017;26828
09/02/2019;www.abc.com;USA;17393;4295
09/02/2019;www.cba.com;France;11372;2569
16/02/2019;www.abc.com;USA;8351;16729
16/02/2019;www.cba.com;France;16748;20644
23/02/2019;www.abc.com;USA;19223;561
23/02/2019;www.cba.com;France;7527;31135
02/03/2019;www.abc.com;USA;9697;29213
02/03/2019;www.cba.com;France;23399;24312
09/03/2019;www.abc.com;USA;20955;11127
09/03/2019;www.cba.com;France;11288;5327
16/03/2019;www.abc.com;USA;3250;1431
16/03/2019;www.cba.com;France;2440;24009
23/03/2019;www.abc.com;USA;31189;14910
23/03/2019;www.cba.com;France;27126;7606
30/03/2019;www.abc.com;USA;20901;17240
30/03/2019;www.cba.com;France;21070;4774
06/04/2019;www.abc.com;USA;12780;3975
06/04/2019;www.cba.com;France;27015;23958
13/04/2019;www.abc.com;USA;16331;21448
13/04/2019;www.cba.com;France;8098;21653
20/04/2019;www.abc.com;USA;7817;19073
20/04/2019;www.cba.com;France;1980;29354
27/04/2019;www.abc.com;USA;7845;27257
27/04/2019;www.cba.com;France;12569;6440
04/05/2019;www.abc.com;USA;23832;157
04/05/2019;www.cba.com;France;30781;9290
11/05/2019;www.abc.com;USA;1584;24433
11/05/2019;www.cba.com;France;8540;12689
18/05/2019;www.abc.com;USA;744;26831
18/05/2019;www.cba.com;France;11995;12848
25/05/2019;www.abc.com;USA;29300;15964
25/05/2019;www.cba.com;France;12565;24304
01/06/2019;www.abc.com;USA;8091;9738
01/06/2019;www.cba.com;France;23516;30318
08/06/2019;www.abc.com;USA;25192;22683
08/06/2019;www.cba.com;France;20058;11301
15/06/2019;www.abc.com;USA;30114;24761
15/06/2019;www.cba.com;France;15607;32661
22/06/2019;www.abc.com;USA;20317;1023
22/06/2019;www.cba.com;France;29837;31846
29/06/2019;www.abc.com;USA;1478;11172
29/06/2019;www.cba.com;France;14952;15028
06/07/2019;www.abc.com;USA;28152;16832
06/07/2019;www.cba.com;France;9673;21019
13/07/2019;www.abc.com;USA;19145;28618
13/07/2019;www.cba.com;France;23464;2695
20/07/2019;www.abc.com;USA;2308;7288
20/07/2019;www.cba.com;France;6566;30368
27/07/2019;www.abc.com;USA;19314;22935
27/07/2019;www.cba.com;France;24549;28352
03/08/2019;www.abc.com;USA;22927;25141
03/08/2019;www.cba.com;France;9180;26342
10/08/2019;www.abc.com;USA;31264;20689
10/08/2019;www.cba.com;France;27726;384
17/08/2019;www.abc.com;USA;3241;20083
17/08/2019;www.cba.com;France;1976;28483
24/08/2019;www.abc.com;USA;6358;2462
24/08/2019;www.cba.com;France;32500;21596
31/08/2019;www.abc.com;USA;8207;16187
31/08/2019;www.cba.com;France;29454;17245
07/09/2019;www.abc.com;USA;14304;29478
07/09/2019;www.cba.com;France;29200;64
14/09/2019;www.abc.com;USA;19227;28908
14/09/2019;www.cba.com;France;15527;7605
21/09/2019;www.abc.com;USA;3544;1122
21/09/2019;www.cba.com;France;20967;21554
28/09/2019;www.abc.com;USA;9975;11503
28/09/2019;www.cba.com;France;7324;29768
05/10/2019;www.abc.com;USA;4200;17847
05/10/2019;www.cba.com;France;1580;14805
12/10/2019;www.abc.com;USA;19015;3721
12/10/2019;www.cba.com;France;29951;18590
19/10/2019;www.abc.com;USA;12811;31082
19/10/2019;www.cba.com;France;9791;3519
26/10/2019;www.abc.com;USA;27987;29685
26/10/2019;www.cba.com;France;28924;24423
02/11/2019;www.abc.com;USA;8206;7411
02/11/2019;www.cba.com;France;22143;23336
09/11/2019;www.abc.com;USA;10801;13160
09/11/2019;www.cba.com;France;4881;26973
16/11/2019;www.abc.com;USA;23277;8433
16/11/2019;www.cba.com;France;22142;4287
23/11/2019;www.abc.com;USA;5497;20231
23/11/2019;www.cba.com;France;21762;1799
30/11/2019;www.abc.com;USA;23917;16114
30/11/2019;www.cba.com;France;6124;18537
07/12/2019;www.abc.com;USA;17338;918
07/12/2019;www.cba.com;France;31397;4291
14/12/2019;www.abc.com;USA;20335;3799
14/12/2019;www.cba.com;France;64;9692
21/12/2019;www.abc.com;USA;12051;5059
21/12/2019;www.cba.com;France;32128;7334
28/12/2019;www.abc.com;USA;30139;19467
28/12/2019;www.cba.com;France;8119;25156
