date;cite;country;views;clicks
06/01/2019;www.abc.com;USA;26400;29172
06/01/2019;www.cba.com;France;19352;512
13/01/2019;www.abc.com;USA;27392;30923
13/01/2019;www.cba.com;France;274;27130
20/01/2019;www.abc.com;USA;26625;9146
20/01/2019;www.cba.com;France;12678;5084
27/01/2019;www.abc.com;USA;24783;29274
27/01/2019;www.cba.com;France;1933;27688
03/02/2019;www.abc.com;USA;23120;30813
03/02/2019;www.cba.com;France;13391;17726
10/02/2019;www.abc.com;USA;23327;1364
10/02/2019;www.cba.com;France;21434;2182
17/02/2019;www.abc.com;USA;23925;15549
17/02/2019;www.cba.com;France;10498;26296
24/02/2019;www.abc.com;USA;22804;17194
24/02/2019;www.cba.com;France;4541;12716
03/03/2019;www.abc.com;USA;9938;15089
03/03/2019;www.cba.com;France;13500;9746
10/03/2019;www.abc.com;USA;22857;18646
10/03/2019;www.cba.com;France;22966;25582
17/03/2019;www.abc.com;USA;26823;7014
17/03/2019;www.cba.com;France;24705;22896
24/03/2019;www.abc.com;USA;10578;29512
24/03/2019;www.cba.com;France;10311;3520
31/03/2019;www.abc.com;USA;29368;14245
31/03/2019;www.cba.com;France;22873;394
07/04/2019;www.abc.com;USA;16927;11576
07/04/2019;www.cba.com;France;24513;10755
14/04/2019;www.abc.com;USA;926;32132
14/04/2019;www.cba.com;France;9586;499
21/04/2019;www.abc.com;USA;10021;1029
21/04/2019;www.cba.com;France;7003;704
28/04/2019;www.abc.com;USA;6393;14898
28/04/2019;www.cba.com;France;21262;24699
05/05/2019;www.abc.com;USA;2644;17813
05/05/2019;www.cba.com;France;29582;2222
12/05/2019;www.abc.com;USA;20023;6129
12/05/2019;www.cba.com;France;29196;13105
19/05/2019;www.abc.com;USA;29512;4224
19/05/2019;www.cba.com;France;17428;7986
26/05/2019;www.abc.com;USA;1720;9480
26/05/2019;www.cba.com;France;14696;32180
02/06/2019;www.abc.com;USA;20934;10221
02/06/2019;www.cba.com;France;28365;2025
09/06/2019;www.abc.com;USA;24255;31912
09/06/2019;www.cba.com;France;9307;29851
16/06/2019;www.abc.com;USA;10229;31055
16/06/2019;www.cba.com;France;26360;9352
23/06/2019;www.abc.com;USA;10947;1985
23/06/2019;www.cba.com;France;9949;9861
30/06/2019;www.abc.com;USA;3485;16846
30/06/2019;www.cba.com;France;21190;19171
07/07/2019;www.abc.com;USA;31244;12422
07/07/2019;www.cba.com;France;26737;23928
14/07/2019;www.abc.com;USA;16107;19641
14/07/2019;www.cba.com;France;7277;17439
21/07/2019;www.abc.com;USA;13852;27688
21/07/2019;www.cba.com;France;25452;31424
28/07/2019;www.abc.com;USA;6992;8906
28/07/2019;www.cba.com;France;13956;14554
04/08/2019;www.abc.com;USA;16573;29958
04/08/2019;www.cba.com;France;2477;22124
11/08/2019;www.abc.com;USA;7289;21848
11/08/2019;www.cba.com;France;12947;22920
18/08/2019;www.abc.com;USA;12609;18575
18/08/2019;www.cba.com;France;16841;4652
25/08/2019;www.abc.com;USA;3205;11060
25/08/2019;www.cba.com;France;1300;4121
01/09/2019;www.abc.com;USA;12165;18381
01/09/2019;www.cba.com;France;4376;18922
08/09/2019;www.abc.com;USA;3940;8730
08/09/2019;www.cba.com;France;26427;25524
15/09/2019;www.abc.com;USA;25371;5046
15/09/2019;www.cba.com;France;13974;13185
22/09/2019;www.abc.com;USA;21932;19123
22/09/2019;www.cba.com;France;16069;885
29/09/2019;www.abc.com;USA;17700;27159
29/09/2019;www.cba.com;France;17492;8303
06/10/2019;www.abc.com;USA;27862;765
06/10/2019;www.cba.com;France;27652;14334
13/10/2019;www.abc.com;USA;13590;15069
13/10/2019;www.cba.com;France;9083;25591
20/10/2019;www.abc.com;USA;9910;30775
20/10/2019;www.cba.com;France;8314;16858
27/10/2019;www.abc.com;USA;27437;28912
27/10/2019;www.cba.com;France;20848;6625
03/11/2019;www.abc.com;USA;11918;8719
03/11/2019;www.cba.com;France;11475;23288
10/11/2019;www.abc.com;USA;23047;4095
10/11/2019;www.cba.com;France;18705;1862
17/11/2019;www.abc.com;USA;8617;30316
17/11/2019;www.cba.com;France;21397;29208
24/11/2019;www.abc.com;USA;2318;4422
24/11/2019;www.cba.com;France;17997;3220
01/12/2019;www.abc.com;USA;30954;19144
01/12/2019;www.cba.com;France;5800;28780
08/12/2019;www.abc.com;USA;3402;10582
08/12/2019;www.cba.com;France;27775;11955
15/12/2019;www.abc.com;USA;17284;9118
15/12/2019;www.cba.com;France;27615;32302
22/12/2019;www.abc.com;USA;5172;405
22/12/2019;www.cba.com;France;24320;12958
29/12/2019;www.abc.com;USA;3815;3896
29/12/2019;www.cba.com;France;13904;22847
