date;cite;country;views;clicks
03/01/2019;www.abc.com;USA;20684;4881
03/01/2019;www.cba.com;France;30573;16183
10/01/2019;www.abc.com;USA;14563;22871
10/01/2019;www.cba.com;France;24963;32077
17/01/2019;www.abc.com;USA;22862;13933
17/01/2019;www.cba.com;France;24870;5407
24/01/2019;www.abc.com;USA;8988;3255
24/01/2019;www.cba.com;France;24754;24059
31/01/2019;www.abc.com;USA;9604;32341
31/01/2019;www.cba.com;France;15997;1903
07/02/2019;www.abc.com;USA;7082;28974
07/02/2019;www.cba.com;France;13785;15315
14/02/2019;www.abc.com;USA;5835;31319
14/02/2019;www.cba.com;France;30744;31223
21/02/2019;www.abc.com;USA;20883;5482
21/02/2019;www.cba.com;France;31677;25159
28/02/2019;www.abc.com;USA;5616;19476
28/02/2019;www.cba.com;France;29638;20320
07/03/2019;www.abc.com;USA;6196;8154
07/03/2019;www.cba.com;France;15523;5164
14/03/2019;www.abc.com;USA;8476;14825
14/03/2019;www.cba.com;France;8653;6693
21/03/2019;www.abc.com;USA;13031;4541
21/03/2019;www.cba.com;France;5208;21785
28/03/2019;www.abc.com;USA;9184;19276
28/03/2019;www.cba.com;France;10887;12913
04/04/2019;www.abc.com;USA;14615;12094
04/04/2019;www.cba.com;France;15428;11606
11/04/2019;www.abc.com;USA;23035;29932
11/04/2019;www.cba.com;France;20716;18310
18/04/2019;www.abc.com;USA;21946;26071
18/04/2019;www.cba.com;France;7204;3586
25/04/2019;www.abc.com;USA;4375;10360
25/04/2019;www.cba.com;France;5654;14755
02/05/2019;www.abc.com;USA;2228;7353
02/05/2019;www.cba.com;France;19668;8164
09/05/2019;www.abc.com;USA;13666;17466
09/05/2019;www.cba.com;France;22429;11536
16/05/2019;www.abc.com;USA;23648;23864
16/05/2019;www.cba.com;France;9715;8542
23/05/2019;www.abc.com;USA;1159;30049
23/05/2019;www.cba.com;France;21196;21287
30/05/2019;www.abc.com;USA;14907;2339
30/05/2019;www.cba.com;France;28312;19608
06/06/2019;www.abc.com;USA;25002;32353
06/06/2019;www.cba.com;France;14632;4714
13/06/2019;www.abc.com;USA;24341;5268
13/06/2019;www.cba.com;France;7177;16003
20/06/2019;www.abc.com;USA;2411;28986
20/06/2019;www.cba.com;France;12426;27578
27/06/2019;www.abc.com;USA;127;19015
27/06/2019;www.cba.com;France;4475;16502
04/07/2019;www.abc.com;USA;16857;8480
04/07/2019;www.cba.com;France;18699;3210
11/07/2019;www.abc.com;USA;30627;7168
11/07/2019;www.cba.com;France;25575;3097
18/07/2019;www.abc.com;USA;13637;20335
18/07/2019;www.cba.com;France;147;29618
25/07/2019;www.abc.com;USA;22410;18407
25/07/2019;www.cba.com;France;10602;866
01/08/2019;www.abc.com;USA;7131;28089
01/08/2019;www.cba.com;France;19220;20390
08/08/2019;www.abc.com;USA;15157;18598
08/08/2019;www.cba.com;France;9209;18813
15/08/2019;www.abc.com;USA;31668;8778
15/08/2019;www.cba.com;France;18373;26409
22/08/2019;www.abc.com;USA;24064;4388
22/08/2019;www.cba.com;France;25435;31526
29/08/2019;www.abc.com;USA;16211;6683
29/08/2019;www.cba.com;France;32687;20955
05/09/2019;www.abc.com;USA;28618;20444
05/09/2019;www.cba.com;France;7366;7827
12/09/2019;www.abc.com;USA;10703;26475
12/09/2019;www.cba.com;France;13354;12941
19/09/2019;www.abc.com;USA;2544;229
19/09/2019;www.cba.com;France;31538;9436
26/09/2019;www.abc.com;USA;6752;21960
26/09/2019;www.cba.com;France;30479;15143
03/10/2019;www.abc.com;USA;15906;20359
03/10/2019;www.cba.com;France;18936;20383
10/10/2019;www.abc.com;USA;31441;17414
10/10/2019;www.cba.com;France;30484;25035
17/10/2019;www.abc.com;USA;25476;10977
17/10/2019;www.cba.com;France;7309;11563
24/10/2019;www.abc.com;USA;18329;17929
24/10/2019;www.cba.com;France;920;8412
31/10/2019;www.abc.com;USA;7922;11248
31/10/2019;www.cba.com;France;22815;6529
07/11/2019;www.abc.com;USA;17432;8318
07/11/2019;www.cba.com;France;28265;15013
14/11/2019;www.abc.com;USA;21256;22049
14/11/2019;www.cba.com;France;13409;30921
21/11/2019;www.abc.com;USA;24298;22052
21/11/2019;www.cba.com;France;2901;8845
28/11/2019;www.abc.com;USA;27264;12208
28/11/2019;www.cba.com;France;29574;4527
05/12/2019;www.abc.com;USA;1218;5098
05/12/2019;www.cba.com;France;29833;1405
12/12/2019;www.abc.com;USA;26266;12663
12/12/2019;www.cba.com;France;14221;14193
19/12/2019;www.abc.com;USA;15419;1217
19/12/2019;www.cba.com;France;19644;24772
26/12/2019;www.abc.com;USA;9132;29411
26/12/2019;www.cba.com;France;12588;24205
