date;cite;country;views;clicks
02/01/2019;www.abc.com;USA;13125;5785
02/01/2019;www.cba.com;France;16343;22488
09/01/2019;www.abc.com;USA;32233;2643
09/01/2019;www.cba.com;France;21603;25900
16/01/2019;www.abc.com;USA;26687;1242
16/01/2019;www.cba.com;France;11132;28174
23/01/2019;www.abc.com;USA;8052;13747
23/01/2019;www.cba.com;France;3185;28173
30/01/2019;www.abc.com;USA;25257;1498
30/01/2019;www.cba.com;France;23090;6225
06/02/2019;www.abc.com;USA;30676;10183
06/02/2019;www.cba.com;France;3604;32242
13/02/2019;www.abc.com;USA;6305;30100
13/02/2019;www.cba.com;France;21348;28301
20/02/2019;www.abc.com;USA;30197;21157
20/02/2019;www.cba.com;France;22250;15826
27/02/2019;www.abc.com;USA;14154;31544
27/02/2019;www.cba.com;France;9683;32579
06/03/2019;www.abc.com;USA;10035;17192
06/03/2019;www.cba.com;France;11763;16855
13/03/2019;www.abc.com;USA;13258;20673
13/03/2019;www.cba.com;France;15337;19619
20/03/2019;www.abc.com;USA;7705;9413
20/03/2019;www.cba.com;France;8021;17859
27/03/2019;www.abc.com;USA;6202;3805
27/03/2019;www.cba.com;France;1717;32448
03/04/2019;www.abc.com;USA;31832;7366
03/04/2019;www.cba.com;France;18147;2447
10/04/2019;www.abc.com;USA;15570;3492
10/04/2019;www.cba.com;France;6850;28593
17/04/2019;www.abc.com;USA;27190;6953
17/04/2019;www.cba.com;France;24493;26733
24/04/2019;www.abc.com;USA;6110;12173
24/04/2019;www.cba.com;France;23813;495
01/05/2019;www.abc.com;USA;11085;28644
01/05/2019;www.cba.com;France;2493;30362
08/05/2019;www.abc.com;USA;30184;29322
08/05/2019;www.cba.com;France;24068;24032
15/05/2019;www.abc.com;USA;19362;4896
15/05/2019;www.cba.com;France;7238;27017
22/05/2019;www.abc.com;USA;22639;25102
22/05/2019;www.cba.com;France;9270;5063
29/05/2019;www.abc.com;USA;14749;3201
29/05/2019;www.cba.com;France;10271;6906
05/06/2019;www.abc.com;USA;6500;7652
05/06/2019;www.cba.com;France;4695;13672
12/06/2019;www.abc.com;USA;14940;11864
12/06/2019;www.cba.com;France;6381;11371
19/06/2019;www.abc.com;USA;15195;23280
19/06/2019;www.cba.com;France;19916;12764
26/06/2019;www.abc.com;USA;14307;7562
26/06/2019;www.cba.com;France;29177;13107
03/07/2019;www.abc.com;USA;11640;12478
03/07/2019;www.cba.com;France;18995;28885
10/07/2019;www.abc.com;USA;32272;26309
10/07/2019;www.cba.com;France;6630;1487
17/07/2019;www.abc.com;USA;9492;25205
17/07/2019;www.cba.com;France;144;28300
24/07/2019;www.abc.com;USA;23874;19734
24/07/2019;www.cba.com;France;26376;26807
31/07/2019;www.abc.com;USA;27953;16608
31/07/2019;www.cba.com;France;16073;11526
07/08/2019;www.abc.com;USA;15213;2621
07/08/2019;www.cba.com;France;20394;23014
14/08/2019;www.abc.com;USA;5837;3041
14/08/2019;www.cba.com;France;4676;18379
21/08/2019;www.abc.com;USA;30995;26275
21/08/2019;www.cba.com;France;1306;29786
28/08/2019;www.abc.com;USA;27426;9808
28/08/2019;www.cba.com;France;3367;3301
04/09/2019;www.abc.com;USA;1331;26112
04/09/2019;www.cba.com;France;14094;2087
11/09/2019;www.abc.com;USA;15069;1889
11/09/2019;www.cba.com;France;9095;6025
18/09/2019;www.abc.com;USA;5447;29090
18/09/2019;www.cba.com;France;26853;8005
25/09/2019;www.abc.com;USA;17101;10163
25/09/2019;www.cba.com;France;27558;28098
02/10/2019;www.abc.com;USA;25669;29045
02/10/2019;www.cba.com;France;21213;19043
09/10/2019;www.abc.com;USA;8664;1588
09/10/2019;www.cba.com;France;24943;31995
16/10/2019;www.abc.com;USA;12239;22825
16/10/2019;www.cba.com;France;20618;6127
23/10/2019;www.abc.com;USA;19236;16139
23/10/2019;www.cba.com;France;7469;6319
30/10/2019;www.abc.com;USA;2451;8892
30/10/2019;www.cba.com;France;6242;26586
06/11/2019;www.abc.com;USA;22937;2129
06/11/2019;www.cba.com;France;32708;19010
13/11/2019;www.abc.com;USA;20420;3016
13/11/2019;www.cba.com;France;31675;21096
20/11/2019;www.abc.com;USA;26932;4868
20/11/2019;www.cba.com;France;32329;9453
27/11/2019;www.abc.com;USA;23531;25169
27/11/2019;www.cba.com;France;23221;14750
04/12/2019;www.abc.com;USA;1167;20591
04/12/2019;www.cba.com;France;14563;24926
11/12/2019;www.abc.com;USA;22081;31404
11/12/2019;www.cba.com;France;28121;21629
18/12/2019;www.abc.com;USA;15582;12077
18/12/2019;www.cba.com;France;27181;17569
25/12/2019;www.abc.com;USA;16650;12111
25/12/2019;www.cba.com;France;8596;32366
